base,variant,rule_id,n_changes,purity,target_drop,collateral,n_chars,engine_findings,detector,score,priority
b11_材料,00_base,-,0,1.0,0,0,538,5,朱雀,100,P1
b11_材料,ZZ_ALL_全部消融,ALL,-1,-,-,-,520,1,朱雀,100,P1
b12_经济,00_base,-,0,1.0,0,0,590,3,,,P1
b12_经济,ZZ_ALL_全部消融,ALL,-1,-,-,-,590,0,,,P1
b13_环境,00_base,-,0,1.0,0,0,544,10,,,P1
b13_环境,ZZ_ALL_全部消融,ALL,-1,-,-,-,537,2,,,P1
b14_心理,00_base,-,0,1.0,0,0,587,6,,,P1
b14_心理,ZZ_ALL_全部消融,ALL,-1,-,-,-,567,0,,,P1
b15_土木,00_base,-,0,1.0,0,0,538,8,,,P1
b15_土木,ZZ_ALL_全部消融,ALL,-1,-,-,-,509,4,,,P1
b16_农学,00_base,-,0,1.0,0,0,529,5,,,P1
b16_农学,ZZ_ALL_全部消融,ALL,-1,-,-,-,524,2,,,P1
b17_法学,00_base,-,0,1.0,0,0,577,5,,,P1
b17_法学,ZZ_ALL_全部消融,ALL,-1,-,-,-,567,1,,,P1
b18_医学,00_base,-,0,1.0,0,0,478,4,,,P1
b18_医学,ZZ_ALL_全部消融,ALL,-1,-,-,-,473,2,,,P1
b11_材料,BURST_句长拉平(反向对照),BURST,7,n/a,CV 0.271→0.323,-,538,5,,,P2
b12_经济,BURST_句长拉平(反向对照),BURST,11,n/a,CV 0.3112→0.3428,-,590,4,,,P2
b13_环境,BURST_句长拉平(反向对照),BURST,7,n/a,CV 0.2672→0.2875,-,544,9,,,P2
b14_心理,BURST_句长拉平(反向对照),BURST,8,n/a,CV 0.3347→0.2849,-,587,6,,,P2
b15_土木,BURST_句长拉平(反向对照),BURST,6,n/a,CV 0.3446→0.3006,-,538,8,,,P2
b16_农学,BURST_句长拉平(反向对照),BURST,6,n/a,CV 0.2867→0.2698,-,529,5,,,P2
b17_法学,BURST_句长拉平(反向对照),BURST,8,n/a,CV 0.368→0.4241,-,577,5,,,P2
b18_医学,BURST_句长拉平(反向对照),BURST,3,n/a,CV 0.2436→0.2489,-,478,3,,,P2
b11_材料,L11_句中连接词,L11,2,1.0,2,0,538,3,,,P3
b11_材料,S01_顿号罗列过密,S01,1,1.0,1,0,522,4,,,P3
b11_材料,S03_否定式排比,S03,1,1.0,1,0,536,4,,,P3
b12_经济,L11_句中连接词,L11,3,1.0,3,0,590,0,,,P3
b13_环境,L11_句中连接词,L11,3,1.0,3,0,542,6,,,P3
b13_环境,P02_段末总结套句,P02,1,1.0,1,0,489,6,,,P3
b13_环境,S03_否定式排比,S03,2,1.0,2,0,544,8,,,P3
b13_环境,V-T1_T1 强标记词,V-T1,1,1.0,1,0,539,8,,,P3
b13_环境,V-T2_T2 中等标记词,V-T2,1,1.0,1,0,542,8,,,P3
b14_心理,L07_句首连接词,L07,1,1.0,1,0,587,4,,,P3
b14_心理,L11_句中连接词,L11,2,1.0,2,0,587,4,,,P3
b14_心理,S01_顿号罗列过密,S01,2,1.0,2,0,567,4,,,P3
b15_土木,S01_顿号罗列过密,S01,3,1.0,3,0,507,5,,,P3
b15_土木,V-T1_T1 强标记词,V-T1,1,1.0,1,0,540,7,,,P3
b16_农学,L11_句中连接词,L11,2,1.0,2,0,529,3,,,P3
b16_农学,V-T2_T2 中等标记词,V-T2,1,1.0,1,0,524,4,,,P3
b17_法学,L11_句中连接词,L11,3,1.0,3,0,577,2,,,P3
b17_法学,S01_顿号罗列过密,S01,1,1.0,1,0,567,4,,,P3
b18_医学,L11_句中连接词,L11,1,1.0,1,0,478,3,,,P3
b18_医学,V-T2_T2 中等标记词,V-T2,1,1.0,1,0,473,3,,,P3
